model,prompt,vignette,predictor,Estimate,SE,z,p_value,p_adj
qwen,ignore,2,trustworthy_z,-0.0797872357976617,0.1694868300427421,-0.4707577324889525,0.6378137515347233,0.7653765018416679
qwen,ignore,2,attractive_z,0.13954280362166,0.1411176281157277,0.9888403418120364,0.3227412629333406,0.7653765018416679
qwen,ignore,2,prototypic_z,-0.0276895425531229,0.1165288749439487,-0.2376195819829365,0.8121761612428543,0.8121761612428543
qwen,ignore,2,race_ambiguity_z,-0.2336474160560291,0.3046049239858724,-0.767050686504548,0.4430513800107612,0.7653765018416679
qwen,ignore,2,age_rated_z,0.054212912919919,0.0987592523263463,0.5489400906031007,0.5830465642070018,0.7653765018416679
qwen,ignore,2,luminance_z,0.379347337501362,0.2479810481673177,1.529743261853659,0.1260802906686002,0.7653765018416679
qwen,ignore,2,raceB,0.3682246035873567,0.7418380136992903,0.4963679358397228,0.6196348431421401,0.7653765018416679
qwen,ignore,2,raceI,0.3649506546805071,0.5705568997938019,0.6396393678043322,0.5224070822755161,0.7653765018416679
qwen,ignore,2,raceL,-0.6178647518763896,0.5016658929451835,-1.231625989658227,0.2180888278821206,0.7653765018416679
qwen,ignore,2,raceW,-0.4043362763624173,0.7637070076650101,-0.5294390025287997,0.5965009480295029,0.7653765018416679
qwen,ignore,2,genderM,0.3046596718994542,0.2172330430891998,1.4024554808374867,0.160779275782693,0.7653765018416679
qwen,baseline,2,threatening_z,-0.0632981599539268,0.1427212235475949,-0.4435090898223563,0.6573975459200191,0.7888770551040228
qwen,baseline,2,trustworthy_z,-0.1055421425313755,0.1536796507531029,-0.6867671940570473,0.4922294459812663,0.7383441689718995
qwen,baseline,2,attractive_z,-0.033279996718868,0.126867586431137,-0.2623207208007556,0.793074188329222,0.793074188329222
qwen,baseline,2,prototypic_z,0.0512946538459257,0.1042603758813025,0.4919860820789986,0.6227291825736516,0.7888770551040228
qwen,baseline,2,race_ambiguity_z,0.505791062204003,0.2691888102497904,1.8789453459624132,0.0602519562602103,0.3929263633773305
qwen,baseline,2,age_rated_z,0.0999409145837541,0.08285273777678,1.2062475817396967,0.2277220423785357,0.3929263633773305
qwen,baseline,2,luminance_z,-0.2573548076984192,0.2140335615373364,-1.2024039867856222,0.2292070453034428,0.3929263633773305
qwen,baseline,2,raceB,0.8783925106510481,0.6669939784115456,1.316942190007398,0.1878580030562769,0.3929263633773305
qwen,baseline,2,raceI,0.1651108674739954,0.5050558248416238,0.3269160741305599,0.7437313631107925,0.793074188329222
qwen,baseline,2,raceL,0.5410014607514199,0.4292539801930011,1.260329515193254,0.2075505168407028,0.3929263633773305
qwen,baseline,2,raceW,0.9789763780910328,0.6622851002631618,1.47817968077801,0.1393596910595481,0.3929263633773305
qwen,baseline,2,genderM,0.2452522244937465,0.1911578391491353,1.2829828250067654,0.1994980933226576,0.3929263633773305
llama,acknowledge,2,threatening_z,0.1313092021830476,0.116987094291755,1.1224246826369972,0.2616819146753992,0.39252287201309877
llama,acknowledge,2,trustworthy_z,0.1375837448245009,0.122021856797725,1.1275336110691447,0.2595169380218537,0.39252287201309877
llama,acknowledge,2,attractive_z,-0.0814098005034743,0.1015255283531228,-0.8018653221908616,0.4226308675965793,0.5071570411158951
llama,acknowledge,2,prototypic_z,0.1085837599578376,0.0815337819874128,1.3317640530228414,0.1829377337082612,0.3658754674165224
llama,acknowledge,2,race_ambiguity_z,0.3163708095852578,0.2119478735271901,1.4926821596286108,0.1355204054851463,0.3252489731643511
llama,acknowledge,2,age_rated_z,0.0082215051898705,0.0715971971292209,0.1148299866408474,0.9085798803621804,0.9085798803621804
llama,acknowledge,2,luminance_z,-0.410245583345197,0.1808667308767393,-2.2682202600586585,0.023315785204544,0.2736510258192768
llama,acknowledge,2,raceB,-0.3488937851000773,0.543810687100121,-0.6415721378345078,0.5211510284610572,0.5685283946847897
llama,acknowledge,2,raceI,-0.6450394245201201,0.4087375443025769,-1.5781261924953374,0.1145366219888809,0.3252489731643511
llama,acknowledge,2,raceL,0.6879543069771799,0.344149467473613,1.9989986096082728,0.0456085043032128,0.2736510258192768
llama,acknowledge,2,raceW,0.4722425920444315,0.5292633612604682,0.8922639022655208,0.3722514977458465,0.4963353303277953
llama,acknowledge,2,genderM,-0.2771160221986325,0.1573297384849415,-1.7613708944488973,0.0781756479472999,0.3127025917891996
llama,ignore,2,threatening_z,-0.1158151919148233,0.1214451866843336,-0.9536416804715032,0.3402650500244371,0.5103975750366556
llama,ignore,2,trustworthy_z,-0.2163839759019819,0.1253267626437877,-1.7265584088931054,0.084247000892439,0.49535306593408146
llama,ignore,2,attractive_z,0.1433839491395529,0.1032978260419137,1.38806356952153,0.1651176886446938,0.49535306593408146
llama,ignore,2,prototypic_z,0.0693268669307475,0.083086508559406,0.8343937918775285,0.4040591144394042,0.5387454859192056
