Estimate,Std. Error,z value,Pr(>|z|),model,prompt,vignette,predictor
0.09003647520130777,0.087971163210431,1.023477147686867,0.30608229936685266,qwen,baseline,6,age_rated_z
-0.5497714944140892,0.20645954867063585,-2.6628533189866537,0.007748118047995944,qwen,baseline,6,luminance_z
0.3624974137750665,0.6066101115338869,0.5975789174671817,0.5501209349666472,qwen,baseline,6,raceB
0.2799663243619369,0.47816520499359433,0.5855012481840611,0.5582107275749504,qwen,baseline,6,raceI
1.0285214869888082,0.4172022030763806,2.4652829716733504,0.013690508422388486,qwen,baseline,6,raceL
1.32194637631034,0.6317700732391801,2.0924485541591458,0.036398409259325866,qwen,baseline,6,raceW
-0.5966278414623349,0.18196800295059734,-3.278751383694165,0.001042674510022129,qwen,baseline,6,genderM
-1.9984946689685115,0.533107108737382,-3.7487676232676264,0.00017770564285348448,qwen,baseline,7,(Intercept)
0.1808217902065965,0.18346810667381688,0.9855761499085768,0.32434114641886713,qwen,baseline,7,threatening_z
0.11462003542509316,0.19685877261504986,0.5822449967684623,0.5604016685178518,qwen,baseline,7,trustworthy_z
0.08554291699337127,0.1561980796020873,0.5476566498851383,0.5839276833557361,qwen,baseline,7,attractive_z
0.27815904344893705,0.12717828466836148,2.1871583201038054,0.02873096839819641,qwen,baseline,7,prototypic_z
0.10613531281288582,0.3327223543349276,0.31899062816214346,0.7497336194881157,qwen,baseline,7,race_ambiguity_z
-0.04599954016124701,0.11505885872351498,-0.3997913821810395,0.6893101786163841,qwen,baseline,7,age_rated_z
0.0351245031640943,0.2981290703035981,0.117816431414506,0.9062131098393311,qwen,baseline,7,luminance_z
-0.10858153674199889,0.9105724119020188,-0.11924536184353748,0.905080969451697,qwen,baseline,7,raceB
-0.45796010264681325,0.6785547354809404,-0.6749051752210146,0.49973601231272474,qwen,baseline,7,raceI
0.3986092221175455,0.5384701162318075,0.74026247715843,0.45914074428352836,qwen,baseline,7,raceL
0.09557321417002654,0.8451156719504478,0.11308891473927174,0.9099600633681969,qwen,baseline,7,raceW
-0.13595832461766882,0.25034169701178327,-0.5430910081722001,0.587067143344413,qwen,baseline,7,genderM
-1.4562433999767932,0.35819900294315093,-4.065459110749984,4.793799883075292e-05,qwen,baseline,8,(Intercept)
-0.13579936843058824,0.13146302596458412,-1.0329852628462417,0.30161079536149765,qwen,baseline,8,threatening_z
-0.1102267678225131,0.13642976894520872,-0.8079378032721073,0.419126387737153,qwen,baseline,8,trustworthy_z
0.10751249267074867,0.11546616362762498,0.9311168682928909,0.3517931138795172,qwen,baseline,8,attractive_z
-0.16112351709774153,0.09127451785579835,-1.7652628672582567,0.07751959714763686,qwen,baseline,8,prototypic_z
0.16880249444946352,0.2331931204797757,0.7238742468138265,0.4691429418552696,qwen,baseline,8,race_ambiguity_z
-0.01969459443682631,0.08285630139560236,-0.23769579507047137,0.8121170452639181,qwen,baseline,8,age_rated_z
-0.25286942756348896,0.19780985028973186,-1.2783459832415394,0.20112746105163223,qwen,baseline,8,luminance_z
0.6002617411493015,0.5901432337878995,1.0171458499938317,0.3090840514938154,qwen,baseline,8,raceB
0.4767804467937552,0.454471407568981,1.0490878828749817,0.29413767244704936,qwen,baseline,8,raceI
0.7022438398342328,0.3782854248959391,1.856386193117036,0.06339853128584672,qwen,baseline,8,raceL
0.9900210577073734,0.5821817985726062,1.7005359153012132,0.08903016674805822,qwen,baseline,8,raceW
-0.22007213772879722,0.17573440061917672,-1.2522997031509049,0.21046067701740667,qwen,baseline,8,genderM
0.24904140257568885,0.3258938509626029,0.7641795076528367,0.44476027671816376,qwen,baseline,9,(Intercept)
-0.18978175135687955,0.11891578690808631,-1.5959340327417397,0.11050352224367617,qwen,baseline,9,threatening_z
-0.07082015585845686,0.12391815471705843,-0.57150750848542,0.567655672086358,qwen,baseline,9,trustworthy_z
0.2505629777511117,0.1040790991237278,2.4074283872619406,0.016065312637448103,qwen,baseline,9,attractive_z
0.10050219202309753,0.08313849056409153,1.208852738860111,0.226719425891066,qwen,baseline,9,prototypic_z
0.3515320587848311,0.21452269411394048,1.638670725429731,0.10128185402816761,qwen,baseline,9,race_ambiguity_z
0.03869506970714959,0.07243066803064584,0.5342359909034317,0.5931782713151663,qwen,baseline,9,age_rated_z
-0.40538164760292666,0.18079893598031743,-2.242168325852638,0.024950495423339977,qwen,baseline,9,luminance_z
-0.29676011591167045,0.5434843306689202,-0.5460325149511086,0.5850435868632257,qwen,baseline,9,raceB
-0.21701209989059467,0.4148407644129811,-0.5231214444358592,0.6008897433016839,qwen,baseline,9,raceI
0.21690825721027412,0.3498544354231117,0.6199957332195795,0.5352605960530389,qwen,baseline,9,raceL
1.009564324597808,0.5374656187470888,1.8783793593183704,0.0603292871159263,qwen,baseline,9,raceW
-0.1830524929145996,0.15758364556511004,-1.1616211330697157,0.2453893939837456,qwen,baseline,9,genderM
5.739574074078736,1.5801908376470346,3.6322031094833993,0.00028101179770481,qwen,baseline,10,(Intercept)
0.25893622746541406,0.514607962595217,0.5031718245469308,0.6148434723368823,qwen,baseline,10,threatening_z
-0.22338008173699858,0.43123923526457614,-0.5179957282874534,0.6044612497457466,qwen,baseline,10,trustworthy_z
0.09434551489961861,0.38814398753824186,0.24306834043210118,0.8079524564869451,qwen,baseline,10,attractive_z
0.17913576645853027,0.3098712017556557,0.5780974980688431,0.5631982961193895,qwen,baseline,10,prototypic_z
-0.06347660785318635,0.7217337590134918,-0.0879501714592787,0.929916280010648,qwen,baseline,10,race_ambiguity_z
-0.3625345137389381,0.34157693510178905,-1.0613553682449424,0.28852843201029743,qwen,baseline,10,age_rated_z
-0.2391816244913384,0.690322867043996,-0.3464779104240433,0.7289835822919797,qwen,baseline,10,luminance_z
-2.8736334061919595,2.3000194960910396,-1.2493952382037614,0.21152054922107597,qwen,baseline,10,raceB
