Estimate,SE,z,p_value,model,prompt,predictor,family,p_adj_m_p_f,p_adj_m_p
-0.0035959357605552,0.0271207163442626,-0.1325899992798671,0.8945176420036154,llama,ignore,prototypic_z,attribute,0.8945176420036154,0.8945176420036154
0.0584836609629173,0.0701336978155277,0.8338881705160698,0.404344003871524,llama,ignore,race_ambiguity_z,attribute,0.5660816054201336,0.8018988414131425
-0.0230162777579297,0.023514348344701,-0.978818439725824,0.3276696969042277,llama,ignore,age_rated_z,attribute,0.5660816054201336,0.8018988414131425
-0.0625109406124601,0.059371183678675,-1.0528835158614638,0.2923943819253145,llama,ignore,luminance_z,attribute,0.5660816054201336,0.8018988414131425
-0.0608739774908269,0.1798962223177209,-0.3383838565732375,0.7350739379620473,llama,ignore,raceB,race,0.7350739379620473,0.8018988414131425
-0.0655385266893065,0.1361271393082695,-0.4814508482462848,0.6301961050432001,llama,ignore,raceI,race,0.7350739379620473,0.8018988414131425
-0.0411769804998427,0.1146174751396592,-0.3592556933370711,0.7194038164008225,llama,ignore,raceL,race,0.7350739379620473,0.8018988414131425
0.0786712371777848,0.1758869435376812,0.4472829852827061,0.6546707504393813,llama,ignore,raceW,race,0.7350739379620473,0.8018988414131425
-0.0328554554340058,0.0516353073078927,-0.6362982452703194,0.524582048446893,llama,ignore,genderM,gender,0.524582048446893,0.8018988414131425
-0.00569830604086,0.0373428182052026,-0.1525944295245019,0.878718118147531,llama,acknowledge,threatening_z,attribute,0.9611065881218716,0.9611065881218716
-0.0027549549304972,0.0389080429499584,-0.0708068235156566,0.9435515010781476,llama,acknowledge,trustworthy_z,attribute,0.9611065881218716,0.9611065881218716
0.0202446663909319,0.0323242287122579,0.6263000602781533,0.5311181468158035,llama,acknowledge,attractive_z,attribute,0.9294567569276562,0.8715212571016231
0.0354976543215074,0.0260874214526987,1.3607191644398864,0.173602455885524,llama,acknowledge,prototypic_z,attribute,0.6001499607842925,0.520807367656572
-0.0768220751775485,0.0678031106920303,-1.1330169721339685,0.2572071260504111,llama,acknowledge,race_ambiguity_z,attribute,0.6001499607842925,0.6172971025209866
-0.0316713081505521,0.0228054991599895,-1.3887575066156437,0.1649065007847676,llama,acknowledge,age_rated_z,attribute,0.6001499607842925,0.520807367656572
0.0027848648997113,0.0571078815794525,0.0487649834434294,0.9611065881218716,llama,acknowledge,luminance_z,attribute,0.9611065881218716,0.9611065881218716
-0.2755794966479409,0.172304937896293,-1.59937085966629,0.1097382232024322,llama,acknowledge,raceB,race,0.2772688536723486,0.520807367656572
-0.0608032171310787,0.130519472559597,-0.4658555228478655,0.6413189192425481,llama,acknowledge,raceI,race,0.6413189192425481,0.8715212571016231
-0.0808880680951124,0.1101334677751149,-0.7344549275455525,0.4626715207419904,llama,acknowledge,raceL,race,0.6168953609893205,0.8715212571016231
-0.250770032309704,0.1693367527620922,-1.4808954832269674,0.1386344268361743,llama,acknowledge,raceW,race,0.2772688536723486,0.520807367656572
0.0223928353595164,0.0499049283569947,0.4487098989368223,0.6536409428262173,llama,acknowledge,genderM,gender,0.6536409428262173,0.8715212571016231
