model,prompt,vignette,predictor,Estimate,SE,z,p_value,p_adj
llama,baseline,1,attractive_z,0.067483956066825,0.1104826619227578,0.6108103741563122,0.5413251246504109,0.9497512523259126
llama,baseline,1,prototypic_z,0.1025071950428679,0.0908145575040027,1.1287528988769204,0.2590020871623485,0.9497512523259126
llama,baseline,1,race_ambiguity_z,0.0974850421229416,0.2363793236044192,0.412409345438702,0.6800394144656617,0.9497512523259126
llama,baseline,1,age_rated_z,-0.0158510439411035,0.0789858594906221,-0.200682046676792,0.8409471988033206,0.9497512523259126
llama,baseline,1,luminance_z,0.0145938669761361,0.1975700729475023,0.0738667894302693,0.9411163818264052,0.9497512523259126
llama,baseline,1,raceB,0.3109862507803256,0.6053053315753911,0.5137675724265319,0.6074145022104872,0.9497512523259126
llama,baseline,1,raceI,0.5029361720642187,0.4493965814174505,1.1191366219963177,0.2630818584117496,0.9497512523259126
llama,baseline,1,raceL,0.0611838395889374,0.3827210557306334,0.1598653606139712,0.87298713574797,0.9497512523259126
llama,baseline,1,raceW,0.3995596070215385,0.5900197487997919,0.6771970054126422,0.4982809675006096,0.9497512523259126
llama,baseline,1,genderM,0.0108502942598376,0.1721745477771618,0.0630191535271563,0.9497512523259126,0.9497512523259126
qwen,acknowledge,2,threatening_z,-0.0528931311792438,0.1461787529200089,-0.3618387085856979,0.7174725640460042,0.9566300853946723
qwen,acknowledge,2,trustworthy_z,-0.2851977600518405,0.1545856702570776,-1.8449171878451187,0.0650495859941705,0.6262589065224672
qwen,acknowledge,2,attractive_z,0.1844733434193505,0.130211550288877,1.4167202756598214,0.1565647266306168,0.6262589065224672
qwen,acknowledge,2,prototypic_z,-0.1594147423032469,0.1027545324745193,-1.551413241481859,0.1208026839663988,0.6262589065224672
qwen,acknowledge,2,race_ambiguity_z,-0.2701506453698953,0.2635136350160079,-1.0251865917810448,0.3052751536087442,0.732660368660986
qwen,acknowledge,2,age_rated_z,-0.0411024150824507,0.0977764763343722,-0.4203712040295893,0.6742143008885368,0.9566300853946723
qwen,acknowledge,2,luminance_z,0.1667123742685394,0.2203791273044921,0.7564798731514952,0.4493615351881426,0.8987230703762852
qwen,acknowledge,2,raceB,0.338882868603865,0.6360941289566129,0.5327558503954998,0.594202599178532,0.9566300853946723
qwen,acknowledge,2,raceI,0.5739202825743925,0.5070850149458695,1.131802884444648,0.2577173147939344,0.732660368660986
qwen,acknowledge,2,raceL,0.0292012557875722,0.4273708829544123,0.068327667963021,0.9455247997416172,0.9673115605393748
qwen,acknowledge,2,raceW,-0.0268510962456987,0.6552188002513429,-0.0409803507399338,0.9673115605393748,0.9673115605393748
qwen,acknowledge,2,genderM,0.0363040264922311,0.1952905610609752,0.1858974970167454,0.8525251450817726,0.9673115605393748
